id,Description,living room 1 R,living room 1 G,living room 1 B,,living room 2 R,living room 2 G,living room 2 B,,living room 3 R,living room 3 G,living room 3 B,,bedroom 1 R,bedroom 1 G,bedroom 1 B,,bedroom 2 R,bedroom 2 G,bedroom 2 B,,lightpack R,lightpack G,lightpack B,,bathroom 1 bri,,bathroom 2 bri,,bathroom 3 bri,,bathroom 4 bri,,,,,,entryway 1 bri,,dressing room bri,,transition time
,,living room 1,,,,living room 2,,,,living room 3,,,,bedroom 1,,,,bedroom 2,,,,lightpack,,,,bathroom 1,,bathroom 2,,bathroom 3,,bathroom 4,,,,,,entryway 1,,dressing room,,
id,Description,R,G,B,,R,G,B,,R,G,B,,R,G,B,,R,G,B,,R,G,B,,bri,,bri,,bri,,bri,,,,,,bri,,bri,,
762,volcanic ash,120,120,120,,120,120,120,,120,120,120,,120,120,120,,120,120,120,,120,120,120,,180,,180,,200,,200,,,,,,200,,200,,
771,squalls,230,230,230,,254,40,40,,230,230,230,,254,40,40,,254,40,40,,254,40,40,,180,,180,,200,,200,,,,,,200,,200,,
781,tornado,230,230,230,,254,40,40,,230,230,230,,254,40,40,,254,40,40,,254,40,40,,180,,180,,200,,200,,,,,,200,,200,,
800,clear sky,150,254,254,,254,254,254,,220,254,254,,240,254,254,,240,254,254,,240,254,254,,180,,180,,200,,200,,,,,,200,,200,,
801,few clouds,150,254,254,,254,254,254,,254,240,240,,230,230,230,,230,230,230,,230,230,230,,180,,180,,200,,200,,,,,,200,,200,,
802,scattered clouds,150,254,254,,254,254,254,,230,240,230,,240,254,254,,240,254,254,,240,254,254,,180,,180,,200,,200,,,,,,200,,200,,
803,broken clouds,150,254,254,,250,200,254,,210,240,220,,250,240,250,,250,240,250,,250,240,250,,180,,180,,200,,200,,,,,,200,,200,,
804,overcast clouds,150,254,254,,250,200,254,,200,200,200,,250,240,250,,250,240,250,,250,240,250,,180,,180,,200,,200,,,,,,200,,200,,
900,tornado,40,40,254,,254,40,40,,40,40,254,,254,40,40,,254,40,40,,254,40,40,,180,,180,,200,,200,,,,,,200,,200,,
901,tropical storm,50,50,254,,254,40,40,,50,50,254,,254,40,40,,254,40,40,,254,40,40,,180,,180,,200,,200,,,,,,200,,200,,
902,hurricane,60,60,254,,254,40,40,,60,60,254,,254,40,40,,254,40,40,,254,40,40,,180,,180,,200,,200,,,,,,200,,200,,
903,cold,35,55,204,,200,200,204,,0,204,204,,200,200,204,,200,200,204,,200,200,204,,180,,180,,200,,200,,,,,,200,,200,,
904,hot,254,153,51,,102,254,254,,254,193,78,,102,254,254,,102,254,254,,102,254,254,,180,,180,,200,,200,,,,,,200,,200,,
905,windy,150,254,254,,225,225,225,,225,225,225,,225,225,225,,225,225,225,,225,225,225,,180,,180,,200,,200,,,,,,200,,200,,
906,hail,40,40,254,,102,254,254,,102,254,254,,102,254,254,,102,254,254,,102,254,254,,180,,180,,200,,200,,,,,,200,,200,,
951,calm,150,254,254,,254,254,254,,254,254,254,,254,254,254,,254,254,254,,254,254,254,,180,,180,,200,,200,,,,,,200,,200,,
952,light breeze,150,254,254,,254,254,254,,245,245,245,,245,245,245,,245,245,245,,245,245,245,,180,,180,,200,,200,,,,,,200,,200,,
953,gentle breeze,150,254,254,,254,254,254,,235,235,235,,235,235,235,,235,235,235,,235,235,235,,180,,180,,200,,200,,,,,,200,,200,,
954,moderate breeze,150,254,254,,254,254,254,,235,235,235,,235,235,235,,235,235,235,,235,235,235,,180,,180,,200,,200,,,,,,200,,200,,
955,fresh breeze,150,254,254,,254,254,254,,245,245,245,,245,245,245,,245,245,245,,245,245,245,,180,,180,,200,,200,,,,,,200,,200,,
956,strong breeze,150,254,254,,254,254,254,,225,225,225,,225,225,225,,225,225,225,,225,225,225,,180,,180,,200,,200,,,,,,200,,200,,
957,"high wind, near gale",250,150,250,,254,150,150,,250,150,250,,254,150,150,,254,150,150,,254,150,150,,180,,180,,200,,200,,,,,,200,,200,,
958,gale,250,150,250,,254,150,150,,250,150,250,,254,150,150,,254,150,150,,254,150,150,,180,,180,,200,,200,,,,,,200,,200,,
959,severe gale,250,150,250,,254,150,150,,250,150,250,,254,150,150,,254,150,150,,254,150,150,,180,,180,,200,,200,,,,,,200,,200,,
960,storm,250,150,250,,254,150,150,,250,150,250,,254,150,150,,254,150,150,,254,150,150,,180,,180,,200,,200,,,,,,200,,200,,
961,violent storm,250,150,250,,254,150,150,,250,150,250,,254,150,150,,254,150,150,,254,150,150,,180,,180,,200,,200,,,,,,200,,200,,
962,hurricane,250,150,250,,254,150,150,,250,150,250,,254,150,150,,254,150,150,,254,150,150,,180,,180,,200,,200,,,,,,200,,200,,
0,spacer,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,0,,0,,,,,,0,,0,,
36,dim,40,40,40,,40,40,40,,100,70,30,,100,100,100,,100,100,100,,25,25,25,,180,,180,,200,,200,,,,,,200,,200,,30
1036,spacer,40,40,40,,40,40,40,,100,70,30,,100,100,100,,100,100,100,,25,25,25,,180,,180,,200,,200,,,,,,200,,200,,30
37,bright,100,100,100,,100,100,100,,100,100,100,,100,100,100,,100,100,100,,150,100,50,,180,,180,,200,,200,,,,,,200,,200,,30
1037,spacer,130,130,130,,130,130,130,,130,130,130,,130,130,130,,130,130,130,,150,100,50,,180,,180,,200,,200,,,,,,200,,200,,30
38,brighter,145,145,145,,145,145,145,,145,145,145,,145,145,145,,145,145,145,,150,100,50,,180,,180,,200,,200,,,,,,200,,200,,30
1038,spacer,170,170,170,,170,170,170,,170,170,170,,170,170,170,,170,170,145,,150,100,50,,180,,180,,200,,200,,,,,,200,,200,,30
39,brightest,254,254,254,,254,254,254,,254,254,254,,225,225,225,,225,225,225,,150,100,50,,180,,180,,200,,200,,,,,,200,,200,,30
1039,spacer,254,254,254,,254,254,254,,254,254,254,,225,225,225,,225,225,225,,150,100,50,,180,,180,,200,,200,,,,,,200,,200,,30
40,yoga,153,60,60,,50,50,50,,50,50,50,,130,130,130,,225,225,225,,200,150,150,,180,,180,,200,,200,,,,,,200,,200,,30
1040,spacer,220,80,80,,80,75,75,,100,80,75,,130,130,130,,225,225,225,,200,150,150,,180,,180,,200,,200,,,,,,200,,200,,30
41,more tea,50,120,120,,50,120,120,,10,60,60,,225,225,225,,225,225,225,,50,120,120,,180,,180,,200,,200,,,,,,200,,200,,30
1041,spacer,70,140,120,,70,140,120,,30,90,60,,225,225,225,,225,225,225,,50,120,120,,180,,180,,200,,200,,,,,,200,,200,,30
42,so much more tea,70,160,250,,70,120,250,,180,220,250,,225,225,225,,225,225,225,,100,100,254,,180,,180,,200,,200,,,,,,200,,200,,30
1042,spacer,160,160,250,,110,160,250,,150,170,250,,225,225,225,,225,225,225,,100,100,254,,180,,180,,200,,200,,,,,,200,,200,,30
43,coffee?,254,188,50,,166,118,128,,128,60,40,,254,154,140,,246,238,218,,254,153,51,,0,,0,,0,,0,,,,,,0,,0,,30
1043,coffee?2,254,153,51,,181,128,138,,138,75,30,,246,238,218,,245,224,218,,100,100,100,,0,,0,,0,,0,,,,,,0,,0,,30
2043,coffee?2,244,168,41,,196,138,128,,148,90,20,,245,224,218,,254,140,161,,100,100,100,,0,,0,,0,,0,,,,,,0,,0,,30
3043,coffee?2,234,168,41,,211,128,128,,128,60,40,,254,140,161,,254,165,140,,100,100,100,,0,,0,,0,,0,,,,,,0,,0,,30
4043,coffee?2,224,178,31,,196,118,118,,138,70,30,,254,165,140,,254,188,140,,100,100,100,,0,,0,,0,,0,,,,,,0,,0,,30
5043,coffee?2,214,188,21,,181,133,108,,148,80,20,,254,188,140,,254,154,140,,100,100,100,,0,,0,,0,,0,,,,,,0,,0,,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
